言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
满袖春风 衣袖飘曳生风。形容十分得意。
千山万壑 壑山沟。山峦连绵，高低重迭。
自信不疑 相信自己，绝不怀疑。
遗训余风 前代遗留下来的风尚教化。
中道而废 中道中途。半路就停止了。
改行自新 改变行为，重新做人。
自相鱼肉 鱼肉当作鱼肉一般任意宰割。比喻内部自相残杀。
谑而不虐 谑开玩笑。开玩笑而不使人难堪。
成千累万 形容数量极多。
行不由径 径小路，引伸为邪路。从来不走邪路。比喻行动正大光明。
树大招风 比喻人出了名或有了钱财就容易惹人注意，引起麻烦。
随风逐浪 ①奔波；颠沛。②犹言随大流。
比众不同 与大家相比，大不一样。
水楔不通 形容拥挤或包围的非常严密。同水泄不通”。
一射之地 一箭所能达到的距离，约当一百二十至一百五十步。
香火不绝 指信神者所供养的香烛不断绝。亦作香火不断”。
一身两头 一个人同时有两个主张。比喻无所适从。
目中无人 眼里没有别人。形容骄傲自大，看不起人。
不出所料 事由变化，在预料之中。形容原先预料的准确。
鱼贯而出 像游鱼那样连贯着出现。
浇风薄俗 指社会风气轻浮庸俗。
机不可失 机机会；时时机∶的时机不可放过，失掉了不会再来。
水洩不通 汇排泄。象是连水也流不出去。形容拥挤或包围的非常严密。同水泄不通”。
风木含悲 比喻因父母亡故，孝子不能奉养的悲伤。
愤风惊浪 指狂风骇浪。
天下为公 原意是天下是公众的，天子之位，传贤而不传子，后成为一种美好社会的政治理想。
百折不移 屡遭挫折亦不改变其操守。
金口玉牙 金、玉比喻珍贵。指皇帝是金口玉牙，说什么是什么，不能更改。现比喻说一不二。
高卧东山 比喻隐居不仕，生活安闲。
东山高卧 比喻隐居不仕，生活安闲。
一笑千金 美女一笑，价值千金。形容美人一笑很难得。
上天入地 升上天空，钻入地下。形容神通广大。也比喻为实现某种目的而四处奔走。
笃论高言 确切高明的言论。
万世一时 万世才有这么一个机会。形容机会难得。
沦落风尘 沦落流落，指陷入坏的境地。风尘旧指娼妓的生活。旧指妇女不幸沦为娼妓。
不三不四 指不正派，也指不象样子。
货而不售 想卖却卖不出去。货卖。
一生九死 指经历多次生命危险而幸存。
知足不辱 知道满足就不会受到羞辱。表示不要有贪心。
五言长城 称誉善于作五言诗的好手。
人言可畏 人言别人的评论，指流言蜚语；畏怕。指在背后的议论或诬蔑的话很可怕。
轻言肆口 指说话轻率、放肆。
千金一笑 犹言千金买笑。花费千金，买得一笑。旧指不惜重价，博取美人欢心。
弄影团风 形容心魂不定。
喝西北风 指没有东西吃。
九死一生 九表示极多。形容经历很大危险而幸存。也形容处在生死关头，情况十分危急。
避世金马 以之比喻身为朝官而逃避世务。
百世一人 指极难得的人才。
好生之德 好生爱惜生灵。指有爱惜生灵，不事杀戮的品德。
不同戴天 戴加在头上或用头顶着。不愿和仇敌在一个天底下并存。形容仇恨极深。
日月经天 日月每天都经过天空。比喻光明正大，历久不衰。
鱼水深情 象鱼儿离不开水那样，关系密切，感情深厚。
百口难分 即使有一百张嘴也难分辩清楚。犹百口莫辩。
闳言高论 指博大高远的议论。
人自为战 为战作战。人人能独立地战斗。
道高望重 犹言德高望重。
神头鬼面 比喻怪模怪样。
百世之利 世世代代长远的利益。
风吹浪打 比喻险恶的遭遇或严峻的考验。
秘而不宣 宣公开说出。保守秘密，不肯宣布。
百忍成金 形容忍耐的可贵。
一以贯之 贯贯穿。用一个根本性的事理贯通事情的始末或全部的道理。
金相玉式 同金相玉质”。
言芳行洁 指言行高洁。
知难而退 原指作战要见机而行，不要做实际上无法办到的事◇泛指知道事情困难就后退。
来日方长 来日未来的日子；方正。将来的日子还长着呢。表示事有可为或将来还有机会。
不可移易 易变换。不能动摇、改变。
出言有章 说话有条理。
观化听风 指希望看到良好的政治教化。
自食其力 依靠自己的劳动所得来生活。
三头六面 指当着众人或有关各方之面。
龙眉凤目 形容贵人相貌不同寻常。
道高德重 道德高尚，很有威信。
分文不值 形容毫无价值。
千生万劫 指世世代代，永久。
正色直言 态度严肃，语言正直，能使人望而生畏。
移风易尚 改变旧的风俗习惯。同移风易俗”。
不绝于耳 绝断。声音在耳边不断鸣响。
餐风饮露 形容旅途或野外生活的艰苦。
直言正色 谓言语正直，仪容严肃。
饮露餐风 喝的是露水，吃的是风。形容超凡脱俗的生活。亦作饮风餐露”。
不择生冷 犹言不择手段。
不护细行 指不注意小节。
不知所终 终最后，结局。不知道结局或下落。
自力更生 更生再次获得生命，比喻振兴起来。指不依赖外力，靠自己的力量重新振作起来，把事情办好。
不及之法 指不适用的法规。
不可胜举 指无法一一枚举，极言其多。
龙生九子 古代传说，龙生有九子，九子不成龙，各有所好。比喻同胞兄弟品质、爱好各不相同。
不习水土 对于一个地方的气候条件或饮食习惯不能适应。
庆吊不行 庆贺喜；吊吊唁。不予贺喜、吊唁。原指不与人来往◇形容关系疏远。
穷不失义 义礼义。虽然穷困，但不失礼义。
至理名言 至最；名有名声的。最正确的道理，最精辟的言论。
生生不息 生生中国哲学术语，指变化和新生事物的发生；不已没有终止。不断地生长、繁殖。
云天雾地 比喻不明事理，糊里糊涂。
一家之作 自成一家的著作。
寝食不安 睡不好觉，吃不好饭。十分忧虑担心的样子。
生龙活虎 形容活泼矫健，富有生气。
表里不一 表面与内在不一样。
一日千丈 形容形势发展极为迅速。
心心念念 心心指所有的心思；念念指所有的念头。心里老是想着。指想做某件事或得到某种东西。
谋为不轨 指准备做违反法纪的事或搞叛乱活动。
死不足惜 足值得；惜吝惜或可惜。形容不怕死或死得没有价值。
难以为继 难于继续下去。
身微言轻 微卑微。地位低，说话不受人重视。
通风讨信 犹言通风报信。把对立双方中一方的机密暗中告诉另一方。
扫地出门 比喻将坏东西彻底清除出去。也没收全部财产，赶出家门。
身不遇时 指没有遇到好的时机。
千里之足 原指千里马◇也用以比喻英俊的人才。
身轻言微 身轻身价低下，地位低；微任用小。地位低下者说的话不为人所重视。
轻身下气 形容谦恭的态度。
马不解鞍 比喻一刻也不停留，毫不间歇。
如出一口 象从一张嘴里说出来的。形容许多人说法一样。
擗踊拊心 擗以手拍击胸膛。踊以足顿地。拊敲击。指捶胸顿足，敲击心口，极尽悲哀。
极重不反 指长期形成的风俗、习惯、弊端或某种局面难以改变。用于消极方面。同极重难返”。
果不其然 果然如此。指事物的发展变化跟预料的一样。
半低不高 中等；不高不矮。
心潮澎湃 澎湃波涛冲击的声音。心里象浪潮翻腾。形容心情十分激动，不能平静。
辞不达意 辞言辞；意意思。指词句不能确切地表达出意思和感情。
金石之功 金指钟鼎类。石指碑碣类。刻在钟鼎碑碣之上，永不磨灭的功勋。
首善之地 最好的地方。指首都。
水到鱼行 比喻条件具备，事情就可办成。
挺身而出 挺身撑直身体。挺直身体站出来。形容面对着艰难或危险的事情，勇敢地站出来。
侃侃而言 理直气壮、从容不迫地说话。
流水游龙 比喻川流不息的车马。
乘风兴浪 比喻趁机挑起事端。
无所作为 作为作出成绩。没有做出任何成绩。指工作中安于现状，缺乏创造性。
得意之作 指自己认为非常满意的作品。
随风倒舵 犹言看风使舵。比喻顺着情势的发展而转变态度。
不羁之民 不受束缚的百姓。指不甘就范的人民群众。
想望风采 想望仰慕。风采风度神采。非常仰慕其人，渴望一见。
不安其室 指已婚妇女又乱搞男女关系。
高下在手 犹言上下其手。比喻玩弄手法，串通做弊。同高下其手”。
天清日白 犹言光天化日，大白天。
风禾尽起 比喻顺应天心，得到天助。
伤风败化 指败坏社会风俗。多用来遣责道德败坏的行为。同伤风败俗”。
若不胜衣 形容身体羸弱，好像连衣服的重量都不能承担。
舌桥不下 形容惊讶的神态。
败化伤风 指败坏社会道德风气。
与众不同 跟大家不一样。
头一无二 唯一，只有一个。
置之不理 之代词，它；理理睬。放在一边，不理不睬。
生不逢辰 辰日子，时光。生下来没有遇到好时候。旧时指命运不好。
舌挢不下 挢翘起。翘起舌头，久久不能放下。形容惊讶或害怕时的神态。
目不斜视 眼睛不偷看旁边。比喻为人行止端方。也形容只朝一个方向看。
风前残烛 比喻随时可能死亡的老年人。也比喻随时可能消灭的事物。
目知眼见 亲眼所见。形容熟悉了解。
言之有礼 说的话有道理。
涅而不缁 涅矿物名，古代用作黑色染料；缁黑色。用涅染也染不黑。比喻品格高尚，不受恶劣环境的影响。
山摇地动 山和地都在摇动。形容声势或力量的强大。
知易行难 知懂得。认识事情的道理较易，实行其事较难。
行易知难 行实施；知知晓。实行容易，但通晓其道理却很困难。
久经风霜 比喻经过长期艰难困苦的磨练。
地动山摇 地震发生时大地颤动，山河亿。亦形容声势浩大或斗争激烈。
得意之色 得意称心如意。因非常称心如意而露出傲慢的神色。
矫言伪行 指言论、行为虚伪不实。
不知进退 不知道应当前进还是应当后退。比喻无决断。也形容言语行动没有分寸。
再不其然 犹言再不然。
自顾不暇 暇空闲。光顾自己还来不及。指没有力量再照顾别人。
无恶不造 没有哪件坏事不干的。指干尽了坏事。同无恶不作”。
谨言慎行 谨、慎小心，慎重。言语行动小心谨慎。
得马生灾 指因福而得祸。
有生之年 一生之中最后的年月，即余年。
百折不回 折挫折。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。
见机而作 看到适当时机立即行动。
自成一格 指形成自己独特的风格。
默不作声 一句话也不说。
不得开交 交相错，纠缠。形容没法解开或摆脱。
涅而不淄 比喻品格高尚，不受恶劣环境的影响。同涅而不缁”。
一举成名 原指一旦中了科举就扬名天下◇指一下子就出了名。
一言半辞 指很少的一两句话。同一言半语”。
出头露面 指在公开场合出现。也指出风头。
大而无当 当底。虽然大，却无底。原指大得无边际◇多用作表示大得不切合实际、不合用。
日上三竿 太阳升起有三根竹竿那样高。形容太阳升得很高，时间不早了。也形容人起床太晚。
一目之士 指见解片面，不能看到事物整体的人。
笔底春风 形容绘画、诗文生动，如春风来到笔下。
长目飞耳 看得远，听得远。比喻消息灵通，知道的事情多。
口吻生花 比喻谈吐文雅。
下笔成文 一下笔就很快写成文章。形容文思敏捷，才华横溢。
名重一时 名名声；一时当代。一个时期内名声很大，受到广泛重视。
千人一面 众多人一个脸谱。多用以讥讽文艺创作上的雷同。
皮相之见 肤浅的看法。
目动言肆 指神色不安，语调失常。
言是人非 指言论无可非议，但为人不可取。
怒目而视 睁圆了眼睛瞪视着。形容正要大发脾气的神情。
淫言诐行 指不正当的言行。
成人之善 成全别人做善事。
金口玉音 旧时用以指天子之言◇泛指说话正确，不能改变。
河目海口 河目形状像河一样的眼睛，上下眼眶平而长；海口像大海一样的嘴，又大又深。比喻相貌非凡。
言过其实 实实际。原指言语浮夸，超过实际才能◇也指话说得过分，超过了实际情况。
无孔不入 孔小洞。比喻有空子就钻。
运斤如风 指挥斧成风声。形容技术的高妙。
马上墙头 指男女青年相恋的地方。
水落石出 水落下去，水底的石头就露出来。比喻事情的真相完全显露出来。
乐不可极 享乐不可过分。
墙头马上 为男女爱慕之典实。
不解之仇 解除不了的仇恨。
事不师古 形容做事不吸取前人经验。
死亡无日 无日没有多少日子。死期将近。
可想而知 不用说明就能想象得到。
见景生情 看到眼前的景物，唤起某种感慨。亦指看到眼前的景物，想起应对的办法，即随机应变。
花前月下 本指游乐休息的环境◇多指谈情说爱的处所。
月下花前 本指游乐休息的环境◇多指谈情说爱的处所。
不便水土 不能适应移居地方的气候和饮食习惯。同不服水土”。
不识高低 指说话或做事不知深浅、轻重。
文人相轻 指文人之间互相看不起。
道不拾遗 遗失物。路上没有人把别人丢失的东西拾走。形容社会风气好。
天下一家 视天下人为一家，和睦相处。也指全国统一。
神龙马壮 比喻身体健壮、气宇轩昂。
不在话下 指事物轻微，或者理所当然，不值得一提。
龙神马壮 谓像骏马一样的有精神。
惊风怒涛 比喻生活中的艰辛险恶。
崛地而起 崛高起，突起。从平地上突起。形容某种新兴事物出现极为迅速。
见机行事 看具体情况灵活办事。
了不长进 一点进步也没有。形容没有出息。
层出不穷 层重复；穷尽。接连不断地出现，没有穷尽。
不贪为宝 表示以不贪为可贵、崇高，也表示廉洁奉公。
道在人为 犹言事在人为。
花天酒地 形容沉湎在酒色之中。花，指妓女。
酒地花天 形容吃喝嫖赌、荒淫腐化的生活。
不拔一毛 比喻非常吝啬。同一毛不拔”。
高天厚地 ①比喻长久。②比喻深重。
以退为进 本指以谦让取得德行的进步，后指以退让的姿态作为进取的手段。
一毛不拔 一根汗毛也不肯拔。原指杨朱的极端为我主义◇形容为人非常吝啬自私。
动不失时 时时宜，时机。行动不失时机。指不做不切合时宜的事。
改政移风 改变风气习俗。
吴带当风 唐画家吴道子善画佛像，笔势圆转，所画衣带如被风吹拂◇人以之称美其高超画技与飘逸的风格。
天高地厚 原形容天地的广大，后形容恩德极深厚。也比喻事情的艰巨、严重，关系的重大。
言来语去 指谈笑时你一言我一语，彼此应对。
河山之德 形容妇人德容之美。
大而化之 化改变，转变。原指大行其道，使天下化之◇形容做事情不小心谨慎。
百舌之声 比喻唠叨、多嘴。
水天一色 水光与天色相浑。形容水天相接的辽阔景象。
执意不从 执坚持；意意见；从依从。坚持自己的意见，不肯依从别人的意见。
重望高名 拥有崇高的名望。
不知深浅 原意是不知道水的深浅◇多用以形容不懂得事情的利害。
死而无悔 就是死了也不懊悔。形容态度坚决。
风平波息 风和波浪都没有。比喻平静无事。
不讳之朝 可直言不讳的朝代。指政治清明之世。
才高行厚 厚不可轻薄，端谨。指才能高，品德端谨。
拔地摇山 翻动大地，摇撼山岳。形容声势极大。
一日万几 形容帝王每天处理政事极为繁忙。
金石之计 比喻最安全的计策。
不省人事 省知觉。指昏迷过去，失去知觉。也指不懂人情世故。
以人为镜 把别人的成败得失作为自己的借鉴。
轻生重义 指轻视生命而重视正义事业。同轻身重义”。
两世为人 好象重新来到人间。形容在非常危险的情况中幸存下来。
人事不省 指昏迷不醒，失去知觉。
言语路绝 犹言言语道断。指不能通过交谈、谈判的方法解决问题。
敬而远之 表面上表示尊敬，实际上不愿接近。也用作不愿接近某人的讽刺话。
语言无味 指说的话枯燥无味或庸俗无聊。
重义轻生 指看重义行而轻视生命。
寻风捉影 比喻说话做事毫无根据。
思不出位 思考虑；位职位。考虑事情不超过自己的职权范围。比喻规矩老实，守本分。也形容缺乏闯劲。
日长一线 指冬至以后白昼渐长。
敦风厉俗 使民风纯朴敦厚。
风风火火 形容急急忙忙，冒冒失失的样子。
庐山面目 庐山山名，在江西省九江市南。比喻事物的真相或本来面目。
不知起倒 不知利害，不知高低。
无所不备 没有什么不具备的。
夜不成寐 寐睡着。形容因心中有事，晚上怎么也睡不着觉。
情同手足 手足比喻兄弟。交情很深，如同兄弟一样。
一之为甚 做了一次，已经过分。比喻错误不能重犯。同一之谓甚”。
不由自主 由不得自己，控制不住自己。
不知所错 错错开；处置。不知道怎么办才好。形容处境为难或心神慌乱。
明发不寐 明发破晓，天色发亮；寐昨。通宵未睡。
不生不灭 佛家语，认为佛法无生灭变迁，即常住”之异名。
风驰草靡 比喻强大的势力能制服一切。同风行草靡”。
刮目相见 比喻去掉旧日的看法，用新的眼光来看待人或事物。同刮目相待”。
大逆不道 逆叛逆；道指封建道德；不道违反封建道德。旧时统治阶级对破坏封建秩序的人所加的重大罪名。
沉重寡言 朴实稳重，不爱多说话。同沉重少言”。
说千道万 道说。指各种各样的说法◇用来形容话说的很多。亦作说一千道一万”。
人事不醒 指昏迷不醒，失去知觉。同人事不省”。
追风蹑影 形容马行疾速。同追风蹑景”。
金石之交 交交情。比喻像金石一样牢不可破的交情。
饱经风霜 饱充分；经经历；风霜比喻艰难困苦。形容经历过长期的艰难困苦的生活和斗争。
不易之典 不变的法则。
不无小补 补补助，补益。多少有一点益处或多少有一点帮助。
蹑影追风 形容速度极快。
人微言轻 地位低，说话不受人重视。
一定不易 易改变。原指一定下来就不变更，后形容事理正确，不可改变。
长恶不悛 指长期作恶，不肯悔改。
不刊之论 刊削除，古代把字写在竹简上，有错误就削去。指正确的、不可修改的言论。
不测之祸 测揣度，预测。无法揣测的祸患。多指牢狱或杀身之祸。
以人为鉴 指将别人的成败得失作为自己的鉴戒。
虎口逃生 老虎嘴里幸存下来的生命。比喻逃脱极危险的境地侥幸活下来。
才高气清 指才能高超而气质清峻。
言和意顺 言语和顺，情意相谐。
一脚不移 借喻坚定不移。
水长船高 比喻事物随着所凭借的基础的提高而提高。
望子成龙 希望自己的子女能在学业和事业上有成就。
鬼神不测 测猜想，估计。鬼神也预料不到。形容极其神奇奥妙。
神龙见首 指诗文跌宕多姿。
言外之味 语言中含而不露的深长意味。
置之不顾 置放着；之代词；顾照管。放在那儿不管。
胡言乱道 犹胡言乱语。指没有根据，不符实际的瞎说，或说胡话。
神鬼不测 神灵鬼怪都不能揣度。极言事情的隐秘奇异。亦作神鬼难测”。
不立文字 佛家语，指禅家悟道，不涉文字不依经卷，唯以师徒心心相印，理解契合，传法授受。
向风慕义 指向往其教化，仰慕其礼义。或指向往其风度，仰慕其义行。
上行下效 效仿效，跟着学。上面的人怎么做，下面的人就跟着怎么干。
庸言庸行 指平平常常的言行。
坐而论道 坐着空谈大道理。指口头说说，不见行动。
衣食不周 周齐备。形容衣食缺乏，生活困窘。
天不作美 天不成全美事。多指要进行的事情因刮风下雨而受到了影响。
无为之治 指道家顺应自然，不求有所作为的治理方法。
无所不包 没有什么不被包括。形容包含的东西非常多。
不解之缘 缘缘分。不可分解的缘分。比喻不能解脱的联系或关系。
长安道上 长安古都名，在今陕西西安西北。旧喻名利场所。
不谋同辞 指事前没有商量而意见完全一致。
词不达意 词言词；意意思。指词句不能确切地表达出意思和感情。
不分皂白 皂黑色。不分黑白，不分是非。
正色危言 态度严肃，语言正直，能使人望而生畏。同正色直言”。
居之不疑 居处于；不疑不疑惑。对自己所处的地位，毫不怀疑。
皂白不分 不分黑白，不分是非。
危言正色 刚直的言论和严正的态度。
漠不相关 形容彼此毫无关联。
不易一字 不更动一个字。形容文章写得又快又好。
不習水土 不能适应某个地方的气侯、饮食等。
四海为家 原指帝王占有全国◇指什么地方都可以当作自己的家。指志在四方，不留恋家乡或个人小天地。
日月入怀 旧称生贵子的吉兆。形容心胸开阔。也比喻光彩夺目。
强而后可 强硬要，迫使。经强求后才答应。
不知其详 不知道他的详细情况。
事以密成 事情因为严密谨慎而成功。
上下其手 比喻玩弄手法，串通做弊。
至死不变 纛到。到死不改变（现常用在坏的方面）。
路见不平 指见到不平的事。
疾言厉气 形容对人发怒说话时的神情。同疾言厉色”。
悬若日月 宛如太阳和月亮一样高高地挂在天空上。形容作品具有永恒的生命力。
一字不易 文字精醇，一个字也不能更改。也用于指抄袭者一字不改地照抄别人的文章。
生生不已 生生中国哲学术语，指变化和新生事物的发生；不已没有终止。形容一切生物新陈代谢，永无停止。
下马看花 比喻停下来，深入实际，认真调查研究。
日不暇给 暇空闲；给足够。指事情繁多，时间不够，来不及做完。
通同一气 串通在一起。
猛虎出山 像凶猛的老虎出山一样。形容动作勇猛又快速。亦作猛虎下山”、猛虎离山”。
望文生义 文文字，指字面；义意义。不了解某一词句的确切涵义，光从字面上去牵强附会，做出不确切的解释。
国而忘家 指为国事而忘其家。
后手不接 指平时不注意留有余地，日后则接应不上，无法继续维持。亦作后手不上”。
以一持万 持把握。形容抓住关键，可以控制全局。
恬不为怪 恬安然；为认为。指看到不合理的事物，毫不觉得奇怪。
山清水秀 形容风景优美。
白面书生 指缺乏阅历经验的读书人。也指面孔白净的读书人。
目无下尘 下尘佛家语，凡尘，尘世，比喻地位低下者。眼睛不往下看。形容态度傲慢，看不起地位低的人。
托之空言 指寄托所怀于文词议论。
不为已甚 已甚过分。不做得太过分。多指对人的责备或处罚适可而止。
风骨峭峻 峭峻山又高又陡。形容人很有骨气，刚直不阿。也比喻诗文书画雄健有力的风格。
漫不经意 随随便便，不放在心上。
餐风宿草 形容旅途或野外生活的艰苦。
不近道理 不近人情，不讲道理。
自命清高 命认为。自以自为清高。
不露形色 不让思想活动从行动和表情上流露出来。
目不识丁 连最普通的丁”字也不认识。形容一个字也不认得。
文以载道 载装载，引伸为阐明；道道理，泛指思想。指文章是为了说明道理的。
讷言敏行 讷言说话谨慎；敏敏捷。指说话谨慎，办事敏捷。
四时之气 本指一年四季的气象，后以备四时之气”喻指人的气度弘远。
一言九鼎 九鼎古代国家的宝器，相传为夏禹所铸。一句话抵得上九鼎重。比喻说话力量大，能起很大作用。
地动山摧 地震发生时大地颤动，山河亿。亦形容声势浩大或斗争激烈。同地动山摇”。
不见经传 经传指被古人尊崇为典范的著作。经传上没有记载◇常指人没有名声或论述没有根据。
一拥而上 一下子全都围上去。形容周围的人同时向一个目标猛挤过去。
千头万绪 绪丝头。比喻事情的开端，头绪非常多。也形容事情复杂纷乱。
万绪千头 绪丝头。比喻事情的开端，头绪非常多。也形容事情复杂纷乱。
用之不竭 竭尽。无限取用而不会使用完。
流言蜚语 毫无根据的话。指背后散布的诽谤性的坏话。
力所不及 及达到。凭自己的力量不能做到。
无翼而飞 翼翅膀。没有翅膀却飞走了。比喻事物很快地传播开来。
不齿于人 齿象牙齿一样排列。不能列于人类。指被人看不起。
风平浪静 指没有风浪。比喻平静无事。
平风静浪 风平浪静。多以喻平静无事。
神不守舍 神魂离开了身体，比喻丧魂失魄，心神不安定。
百折不屈 受到无数挫折都不屈服、动摇。形容意志坚强。
颐指风使 以下巴的动向和脸色来指挥人。常以形容指挥别人时的傲慢态度。
扫地以尽 比喻破坏得彻底。也比喻面子、威风丢失干净。
奉扬仁风 奉扬颂扬；仁风施行仁政如同风行。旧时用作颂扬德政。
桃李春风 比喻学生受到良师的谆谆教诲。
劳而无功 花费了力气，却没有收到成效。
摸头不着 指莫名其妙，不知所措。
人中龙虎 比喻人中豪杰。
染风习俗 指受风俗影响而有所习染。
大风大浪 指巨大的风浪。比喻社会的大动荡、大变化。也比喻尖锐、复杂、激烈、艰苦的斗争。
置水之情 表示人民对官吏公正清廉的期望。
无中生有 道家认为，天下万物生于有，有生于无。把没有的说成有。比喻毫无事实，凭空捏造。
头上末下 第一次，初次。也指从上到下，从头到尾。
下愚不移 移改变。下等的愚人，决不可能有所改变。旧时儒家轻视劳动人民的观点。也指不求上进，不想学好。
食不求甘 饮食不求甘美。形容生活节俭。
通风报讯 把对立双方中一方的机密暗中告诉另一方。同通风报信”。
兵出无名 出兵没有正当理由。亦泛指行事无正当理由。同师出无名”
世俗之见 世人的庸俗见解。
偶一为之 偶偶尔；为做。指平耻少这样做，偶尔才做一次。
以防不测 防防备；测预测。用来防备不曾料想到的事。
母难之日 指自己的生日。
作金石声 金石钟磬之类的乐器，声音清脆优美。比喻文章优美，音调铿锵。
计日以期 可以数着日子等待。形容为时不远。同计日而待”。
同声相应 同类的事物相互感应。指志趣、意见相同的人互相响应，自然地结合在一起。
两头白面 白面面粉，比喻糊涂或被人蒙骗。对两头都掩饰、隐瞒。形容作事情表里不一，两面糊弄，两头讨好。
不知所措 措安置，处理。不知道怎么办才好。形容处境为难或心神慌乱。
文山会海 形容文件会议多得泛滥成灾。
气义相投 指志趣、情谊互相投合。
义气相投 彼此志趣、性格相投合。
头面人物 指在社会上有较大名声或势力而又经常抛头露面的人。
当风秉烛 秉举着。迎着风举着蜡烛。比喻身陷危险境地。
一无所长 没有一点儿专长。
一字千金 增损一字，赏予千金。称赞文辞精妙，不可更改。
疾风劲草 在猛烈的大风中，只有坚韧的草才不会被吹倒。比喻只有经过严峻的考验，才知道谁真正坚强。
不失时机 失耽误，错过。时机具有时间性的机会。不错过当前的机会。指办事要抓住适宜的时间和有利的机会。
胡行乱为 犹胡作非为。不顾法纪或舆论，毫无顾忌地做坏事。
目空一世 什么都不放在眼里。形容骄傲自大。
择地而蹈 选择地方行走。形容做事小心谨慎。
大煞风景 损伤美好的景致。比喻败坏兴致。
不学无识 指没有学问，缺乏见识。
不明不白 指说话含含糊糊，很不清楚。也形容行为暧昧。
秋风扫叶 比喻威力大、气势猛。
点水不漏 形容十分周到、严密，毫无差失漏洞。
嘉言懿行 嘉、懿善、美。有教育意义的好言语和好行为。
自崖而反 崖崖岸；反通返”，回。旧时送行辞。
一饭千金 比喻厚厚地报答对自己有恩的人。
无往不胜 无论到哪儿没有不胜利的。
不知利害 不知什么为利，什么为害。
别有风趣 形容事物（多指文艺作品）具有特殊的情调或趣味。
千军万马 形容雄壮的队伍或浩大的声势。
口不二价 指卖物者不说两种价钱。
目不转睛 眼珠子一动不动地盯着看。形容注意力集中。
顿腹之言 犹言肺腑之言。
同生共死 生死与共，形容情谊极深。
归之若水 归附的势态就像江河汇成大海一样。形容人心所向。
行远自迩 自从；迩近。走远路必须要从最近的一步走起。比喻做事情都得由浅入深，一步步前进。
白首相知 白首白头发，引申为时间长。意谓老年知己。
言重九鼎 形容说话有分量，比较比来九鼎也不算重。
言发祸随 话一出口，祸患随之而来。同言出祸从”。
生齿日繁 生齿指人口；繁多。人口一天天多起来。
吸风饮露 道家及诗文中常用以指神仙的绝食五谷。
无所不晓 什么事情都知道，没有不懂得的。
视死若生 把死去看做活着一样。形容不怕死。
积土成山 累土可以堆成山，比喻积少成多。
相忍为国 为了国家的利益而作一定的让步。
道不掇遗 路上没有人把别人丢失的东西拾走。形容社会风气好。同道不拾遗”。
扬长而去 大模大样地径自走了。
不可思议 原有神秘奥妙的意思。现多指无法想象，难以理解。
家累千金 指家中极富财产。
千头万序 形容事情杂，头绪多。同千头万绪”。
逐电追风 追赶闪电和迅风。形容速度非常快。
追风逐电 形容速度极快。多指马飞速奔驰。
赞声不绝 连续不断地称赞。形容对人或事物非常赞赏。
人自为政 各人推行自己的主张。比喻各行其是。
一定不移 原指一定下来就不变更，后形容事理正确，不可改变。同一定不易”。
神不附体 形容心神不定。
不愧下学 不耻下问，虚心向地位低的人学习。
逐风追电 追赶迅风和闪电。
平地青云 平平稳；青云高空。比喻境遇突然变好，顺利无阻地一下子达到很高的地位。
不讳之路 指忠言直谏之路。
大天白日 白天。强调跟暮夜黑暗对照。
随风转舵 随着风向转换舵位。比喻顺着情势改变态度（含贬义）。
食日万钱 每天饮食要花费上万的钱。形容饮食极奢侈。
日食万钱 每天吃喝花费上万钱财。形容生活极其奢侈。
一刻千金 一刻时光，价值千金。形容时间非常宝贵。
足高气扬 犹言趾高气扬。
无微不至 微微细；至到。没有一处细微的地方不照顾到。形容关怀、照顾得非常细心周到。
死里求生 指在极其危险的境地中求取生存。
知人之明 能看出人的品行才能的眼力。
不刊之说 指正确的、不可修改的言论。
月明千里 月光普照大地◇多用作友人或恋人相隔遥远，月夜倍增思念的典故。
千金一刻 形容时间非常宝贵。
鱼米之地 盛产鱼类及稻米等的富庶地方。
流言惑众 流言无根据的话。指制造谣言以欺骗、迷惑群众。
足高气强 犹言趾高气扬。
招风惹草 比喻招惹是非。
无万大千 不可以千万计，极言数量之多。
才高行洁 才智高超，操行纯洁。
一相情原 指单方面的愿望或不考虑客观实际情况的主观意愿。亦作一厢情原”。
不容分说 分说辩白，解说。不容人分辩解释。
不遗余力 遗留；余力剩下的力量。把全部力量都使出来，一点不保留。
面目一新 样子完全改变，有了崭新的面貌。
鱼水相欢 形容夫妇关系和好谐调如鱼水。
日来月往 形容岁月流逝。同日往月来”。
自救不暇 解救自己都来不及。指无力再帮助他人。
露餐风宿 在露天中吃饭，在风中住宿。形容旅途艰辛。
不改其乐 不改变自有的快乐。指处于困苦的境况仍然很快乐。
信口胡言 随口乱说。指毫无根据、不负责任地瞎说。
露宿风餐 在露天过夜，在风口吃饭。形容行旅生活的辛苦。
点石为金 指用手指一点使石变成金的法术。同点铁成金”。
锋不可当 锋锋芒，指刀剑的刃和尖；当阻挡、承受。锋芒纯利，没有东西可以承受。形容气势极盛，不可阻挡。
日往月来 形容岁月流逝。
餐风露宿 风里吃饭，露天睡觉。形容旅途或野外工作的辛苦。
风餐露宿 风里吃饭，露天睡觉。形容旅途或野外工作的辛苦。
